Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
AuV,Right,4.5899,5.0387,1.4635,1.4404,0.5526,0.0123,0.2676,0.003986,0.025952,0.227886,0.232437,0.647034,0.911828,0.848676
DLO,Right,0.4244,0.4417,0.4983,0.3734,2.9146,0.3036,1.8567,0.7357,0.5071,0.4811,0.7723,0.0356,0.5823,0.1384
Fr3,Right,0.2681,0.3709,65.9741,1.8408,0.3634,0.763,0.3233,0.8484,0.5433,5.91E-14,0.1412,0.7795,0.3835,0.8085
FrA,Right,0.2253,2.2906,40.3187,0.7065,1.6977,0.2761,2.6037,0.87874,0.13184,1.58E-09,0.54924,0.16899,0.59987,0.05326
Ins,Right,2.9831,0.0844,19.3919,0.3588,1.1611,0.0104,1.057,0.03257,0.7718,1.78E-05,0.78285,0.32592,0.91896,0.36864
LO,Right,0.8966,3.5523,8.588,4.1496,1.533,0.6085,1.2338,0.444015,0.061005,0.003803,0.007095,0.207383,0.436349,0.298739
LPtA,Right,0.7503,4.177,1.6916,1.3411,0.24,0.6466,0.5025,0.52344,0.04237,0.19498,0.2624,0.86834,0.42234,0.68099
M1,Right,0.2361,5.9131,17.7212,0.2037,1.5956,0.1201,0.1993,0.87113,0.01597,3.96E-05,0.89376,0.19191,0.72928,0.89679
M2,Right,0.65,3.2971,12.4389,0.3937,2.8499,0.8289,3.4136,0.5838854,0.0709954,0.0005283,0.757692,0.0387253,0.3637429,0.0185834
MO,Right,1.5445,1.2105,16.2325,2.8329,0.0293,2.2036,1.1708,0.20446,0.27263,8.13E-05,0.03959,0.99322,0.13936,0.32215
MPtA,Right,1.2602,4.6008,2.6083,0.6534,0.3032,0.1046,0.859,0.28939,0.03324,0.10798,0.58173,0.82306,0.74678,0.46343
PtPR,Right,0.9586,4.1686,3.7875,1.1995,0.359,1.2677,0.3551,0.41346,0.04258,0.05313,0.31131,0.78267,0.26163,0.78548
S1,Right,1.4109,0.7392,8.538,6.8942,0.3231,0.2691,0.8372,0.2409744,0.3910118,0.0039046,0.0001983,0.8086621,0.6045739,0.4749871
S1BF,Right,2.6003,1.3571,26.7804,2.7995,0.1718,0.6128,0.1963,0.0535,0.24551,5.82E-07,0.04134,0.91533,0.43471,0.89884
S1DZ,Right,3.3972,1.1083,7.755,1.1134,0.107,0.8155,0.2607,0.018986,0.293813,0.005903,0.344937,0.955939,0.367657,0.853654
S1FL,Right,2.9054,1.8429,7.5669,1.1697,0.4412,0.0738,0.2417,0.036033,0.176235,0.006526,0.322604,0.723841,0.786205,0.867191
S1HL,Right,5.3878,7.119,0.5375,1.5283,0.8473,0.7573,0.2028,0.001404,0.008293,0.464378,0.208589,0.469636,0.385274,0.894374
S1J,Right,0.4638,0.2417,26.2298,0.7275,1.0907,0.0145,0.9995,0.7079,0.6235,7.47E-07,0.5367,0.3543,0.9044,0.3943
S1Sh,Right,2.9687,0.5037,3.1623,0.4879,0.2138,0.0526,1.0268,0.03319,0.47877,0.07697,0.69108,0.88674,0.81886,0.38193
S1Tr,Right,1.8057,1.6303,3.6851,1.2198,0.7577,0.0309,2.0598,0.14759,0.20324,0.05642,0.30383,0.5192,0.86062,0.10703
S1ULp,Right,1.2907,0.7793,50.9635,1.4021,1.7663,0.1366,0.3201,0.2789,0.3785,1.99E-11,0.2436,0.1551,0.7121,0.8108
S2,Right,2.4782,3.545,23.8279,1.5262,3.3308,0.0078,0.7508,0.06263,0.06127,2.24E-06,0.20911,0.0207,0.92972,0.52314
TeA,Right,2.251,0.7885,2.9313,0.0315,0.5041,0.1211,0.7073,0.08386,0.3757,0.08852,0.99246,0.67991,0.72818,0.54876
V1,Right,0.1249,0.6542,1.6604,1.9204,0.2817,0.055,0.6933,0.9453,0.4196,0.1991,0.1277,0.8386,0.8149,0.5572
V1B,Right,1.9425,1.0514,6.188,3.0721,0.2471,0.0832,0.5812,0.1242,0.3065,0.01373,0.02901,0.86323,0.77329,0.62807
V1M,Right,1.8727,2.0303,12.931,1.9327,0.4282,0.1012,0.0928,0.1356503,0.1558452,0.0004129,0.1257552,0.7330322,0.7507476,0.9639631
V2L,Right,0.616,2.6797,14.0801,1.5276,1.1701,0.7497,0.0479,0.6054367,0.1033107,0.0002333,0.2087609,0.3224166,0.387682,0.9860633
V2ML,Right,0.6141,2.6603,2.7434,3.647,0.5214,0.8329,0.4962,0.60669,0.10456,0.09933,0.0137,0.66808,0.3626,0.68532
V2MM,Right,0.8514,1.31,13.1974,4.5977,0.8379,0.3519,0.3719,0.4675609,0.2538525,0.0003616,0.0039456,0.4746432,0.5537739,0.7733408
VO,Right,2.3238,7.2764,0.027,1.4894,0.4924,0.4983,0.6676,0.076381,0.007622,0.869691,0.218835,0.68798,0.48114,0.572929
CEnt,Right,0.9872,0.751,9.2374,2.0787,0.9267,0.0359,2.1021,0.399878,0.387259,0.002709,0.104485,0.428936,0.849952,0.101415
DIEnt,Right,3.0871,0.3582,1.0587,0.594,0.3139,0.5333,0.5468,0.02844,0.55022,0.30484,0.61969,0.81534,0.46612,0.65089
DLEnt,Right,2.8387,3.1983,2.0255,1.468,0.9713,1.1144,0.0607,0.03929,0.07532,0.15633,0.22467,0.40743,0.29249,0.98036
MEnt,Right,1.3474,6.1429,0.0003,2.5212,0.5129,0.6805,0.2675,0.26039,0.01407,0.9851,0.05925,0.67388,0.41047,0.84875
VIEnt,Right,0.6591,3.671,0.0134,1.7394,1.1345,1.6866,0.306,0.5782,0.05688,0.90786,0.1604,0.336391,0.19564,0.82105
CI,Right,0.9925,0.0485,2.9635,3.4195,1.4825,0.0833,0.4055,0.39751,0.82593,0.08681,0.01844,0.22071,0.77318,0.74919
DCI,Right,0.5984,0.0172,2.633,0.9618,0.999,1.5122,1.1367,0.6168,0.8959,0.1063,0.4119,0.3945,0.2203,0.3355
PLCo,Right,0.8248,0.5425,0.3925,0.691,0.3328,0.2491,2.8091,0.48168,0.46232,0.53177,0.55858,0.80164,0.61833,0.04082
VCl,Right,1.8997,0.2942,7.5831,0.2088,2.4143,0.1763,0.324,0.13111,0.58817,0.00647,0.89023,0.068,0.67509,0.80803
Hc,Right,0.1651,0.4459,13.1026,2.9548,0.2734,0.4126,0.5152,0.919761,0.5051263,0.0003791,0.0337907,0.8445627,0.521414,0.6723246
DTT,Right,0.6301,0.0706,0.779,0.4059,0.8842,0.1068,1.242,0.596,0.7908,0.3786,0.7489,0.4503,0.7442,0.2958
Ect,Right,0.9645,0.9304,13.4963,1.1698,0.3826,0.2231,0.2602,0.4106349,0.3360036,0.0003116,0.3225366,0.7656748,0.6372484,0.8540027
PaS,Right,2.3049,0.9933,2.2793,3.8721,1.1875,0.7665,0.1403,0.07826,0.32021,0.13279,0.0102,0.3158,0.38242,0.93573
PRh,Right,3.8835,2.41,2.8088,1.1248,1.0923,0.5291,0.1974,0.01005,0.12225,0.09541,0.34027,0.35362,0.4679,0.89804
PrS,Right,4.6254,2.1052,0.7283,0.2038,0.4954,0.4145,0.1523,0.003805,0.148462,0.39451,0.8937,0.6859,0.520469,0.92813
Pir,Right,0.3853,8.0626,4.7247,0.2488,0.5538,0.2924,0.1621,0.763745,0.005016,0.030982,0.862148,0.646206,0.589318,0.921757
APir,Right,1.1788,1.3214,0.0832,0.1497,0.2446,0.0083,0.8528,0.3191,0.2518,0.7734,0.9298,0.8651,0.9277,0.4667
Hyp,Right,1.1092,5.4106,14.4207,3.4742,1.3185,3.2866,1.0525,0.346656,0.0210807,0.0001972,0.0171695,0.269706,0.0714438,0.3706229
Preopt,Right,1.442,0.202,1.4031,0.8521,0.6582,5.0441,0.3895,0.23197,0.65365,0.23769,0.46705,0.57879,0.02587,0.76069
Sthal,Right,1.5828,0.0253,8.9103,1.5459,0.5211,0.1362,2.1346,0.194984,0.873807,0.003213,0.204085,0.668286,0.712516,0.097296
SPT,Right,0.2872,0.2071,9.6002,4.3799,0.0581,0.4272,0.6241,0.834586,0.649609,0.002244,0.005248,0.981564,0.514168,0.600279
GP,Right,0.9034,7.4073,9.7944,3.0543,0.6789,0.3284,0.0839,0.440591,0.007107,0.00203,0.029687,0.565997,0.567281,0.968729
CPu,Right,0.421,14.3997,17.6014,0.9695,1.3041,9.236,1.4167,0.7381762,0.0001992,4.20E-05,0.40827,0.2744336,0.002711,0.2392781
Amy,Right,3.9992,1.9044,4.2011,3.3684,0.175,0.0295,0.4893,0.008639,0.169222,0.041787,0.019713,0.913251,0.863828,0.690096
Acb,Right,0.9375,0.9889,0.4052,0.9183,0.0272,1.8187,0.2519,0.4237,0.3213,0.5252,0.4331,0.9939,0.1791,0.8599
BNst,Right,0.3001,0.6381,3.4231,2.9885,1.4311,1.6978,0.4683,0.82527,0.42542,0.06586,0.03234,0.2351,0.19417,0.70473
Vpal,Right,0.6601,12.1062,0.0005,0.9708,0.281,1.1997,2.3396,0.5776063,0.0006245,0.982249,0.407643,0.8391068,0.2747881,0.0748538
PAG,Right,0.8919,1.78,0.0604,0.102,0.3919,0.5889,0.5772,0.4464,0.1838,0.8061,0.9588,0.759,0.4438,0.6307
APT,Right,1.8339,5.0463,8.8514,2.209,0.4689,0.6382,0.673,0.142448,0.025842,0.003313,0.088485,0.704353,0.425388,0.569581
VTA,Right,0.8004,7.6769,0.3499,3.1214,0.2029,0.0893,1.7274,0.495046,0.006155,0.554885,0.027204,0.894302,0.765401,0.162826
Thal_R,Right,0.2734,2.7349,0.1242,1.1646,1.7509,0.0394,0.8943,0.84453,0.09985,0.72487,0.32457,0.15811,0.84285,0.44516
VT,Right,0.8525,2.0486,0.1024,0.4148,0.365,2.3365,1.1961,0.4668,0.154,0.7493,0.7426,0.7783,0.1281,0.3126
LDNT,Right,2.5222,0.0008,2.0475,3.488,0.3503,0.3244,0.7827,0.05918,0.97771,0.15411,0.01685,0.78895,0.56964,0.50492
MGN,Right,1.6061,0.5515,0.5936,0.2209,0.0858,2.6998,0.5598,0.1894,0.4586,0.442,0.8818,0.9677,0.102,0.6422
LGN,Right,0.3621,4.0535,5.1803,0.305,0.4447,2.237,0.7016,0.78046,0.04551,0.02397,0.82174,0.72131,0.13642,0.5522
ZI,Right,2.4795,7.8411,10.2726,0.285,0.3554,0.0061,0.9002,0.062524,0.005641,0.001587,0.836175,0.785291,0.937908,0.442203
RTN,Right,1.3583,0.6508,1.9188,5.2807,0.4968,0.1922,1.138,0.256952,0.420842,0.167628,0.001615,0.68496,0.661603,0.335014
Sub_PP,Right,0.0912,1.7686,0.1022,0.4912,0.6022,1.7205,0.1176,0.9648,0.1852,0.7496,0.6888,0.6144,0.1912,0.9497
DpMe,Right,0.2763,0.6321,15.8953,0.8551,0.1468,0.062,0.1408,0.8424,0.4276,9.58E-05,0.4655,0.9317,0.8036,0.9354
SC,Right,3.053,0.0079,6.5096,4.0138,0.2094,0.1695,0.6216,0.029741,0.929252,0.011525,0.008475,0.889785,0.681003,0.601869
IC,Right,1.5418,2.9021,1.4005,0.3347,0.2753,0.6352,0.1103,0.20512,0.09012,0.23813,0.80028,0.84315,0.42647,0.95399
SN,Right,8.4154,3.421,9.1101,0.7312,0.5652,0.7411,1.1708,2.82E-05,0.065943,0.002895,0.534584,0.638634,0.390399,0.322166
RPC,Right,0.392,4.7116,5.886,0.921,0.1708,0.9132,1.5486,0.75889,0.03121,0.01621,0.43175,0.91599,0.3405,0.20341
MRN,Right,1.3809,1.0993,12.5251,0.6104,1.3976,1.3018,0.3232,0.249969,0.295768,0.000506,0.609031,0.24492,0.255342,0.8086
RI,Right,0.3865,0.7159,1.8179,1.5436,0.8273,0.0167,1.9125,0.7628,0.3986,0.1792,0.2047,0.4804,0.8973,0.129
Cn,Right,0.2666,0.1929,1.2671,1.0071,2.4456,0.0738,0.6884,0.84944,0.66105,0.26174,0.39081,0.06532,0.78622,0.56016
PrCn,Right,0.7597,0.5515,12.8039,0.4421,4.0458,0.0299,1.2294,0.518021,0.458642,0.00044,0.723165,0.008128,0.862871,0.300315
BS_R,Right,2.8054,2.0441,2.9922,0.4439,0.3385,0.1561,2.1345,0.04103,0.15446,0.08531,0.72191,0.79753,0.69319,0.09732
Iped,Right,0.8205,1.9129,2.9802,0.5825,0.2621,0.7856,0.046,0.48403,0.16829,0.08593,0.6272,0.85262,0.37656,0.98686
Cb_1_10,Right,2.6327,2.2739,17.4614,0.5046,1.2609,1.0836,0.717,0.05131,0.13325,4.49E-05,0.67954,0.28914,0.29923,0.54298
Den,Right,0.5117,1.39,0.0006,1.9233,0.3706,0.1553,0.7576,0.6747,0.2399,0.9811,0.1273,0.7743,0.694,0.5192
Int,Right,0.0378,0.4636,3.675,2.0875,0.1892,0.8519,1.9259,0.99013,0.49677,0.05675,0.10333,0.90368,0.3572,0.12684
FasDL,Right,0.4965,3.7241,1.1664,0.3549,0.1616,0.0074,0.1216,0.68514,0.05514,0.28152,0.78567,0.9221,0.93165,0.94727
FasMed,Right,0.3831,0.0006,6.5724,1.5953,0.653,0.5149,0.6516,0.76532,0.98079,0.01114,0.19197,0.58202,0.4739,0.58288
VII,Right,2.2613,0.0543,1.6442,0.1533,0.5573,3.8248,1.0791,0.08275,0.81601,0.20133,0.92744,0.64385,0.05198,0.35919
ParB,Right,2.3286,1.3098,2.3295,0.0621,1.1636,0.9785,0.6182,0.07591,0.25389,0.12862,0.9797,0.32495,0.32384,0.60402
KF,Right,1.3513,0.0751,4.9785,0.9467,1.0375,2.187,0.3006,0.25915,0.78435,0.02685,0.41921,0.3772,0.14085,0.82493
PCRt,Right,0.9626,0.0001,22.101,0.4944,0.9025,0.0083,0.6078,0.4116,0.994,4.99E-06,0.6866,0.441,0.9274,0.6107
CG,Right,2.179,7.5138,0.5136,0.753,0.2705,1.2113,1.2365,0.091944,0.006714,0.474474,0.521856,0.846588,0.272485,0.297764
Su5,Right,0.254,2.0646,0.1593,1.3226,0.5923,2.1971,0.3014,0.8581,0.1524,0.6902,0.2684,0.6208,0.1399,0.8244
m5,Right,1.6173,0.6203,1.3261,0.28,1.862,6.777,0.7216,0.186792,0.431944,0.250957,0.839809,0.905717,0.009971,0.540267
5N,Right,1.0151,3.7193,3.405,0.829,0.6724,1.6042,1.0374,0.38719,0.05529,0.06657,0.47939,0.56994,0.20687,0.37722
PnO,Right,3.7524,1.0779,29.8838,0.1036,0.8308,0.4081,0.3617,0.01193,0.30049,1.45E-07,0.9579,0.47844,0.52373,0.78071
Raph,Right,1.8862,2.384,0.0534,0.2026,1.8428,1.6933,0.9399,0.1334,0.1243,0.8175,0.8945,0.1409,0.1948,0.4225
Pr5,Right,0.9973,0.1071,10.5602,0.8732,1.2068,0.0293,0.0666,0.395312,0.743832,0.001369,0.456033,0.308574,0.86425,0.977533
DTg,Right,0.9634,5.3568,0.0003,0.7083,0.894,0.012,1.2517,0.41115,0.02172,0.98716,0.54817,0.44533,0.91291,0.29238
Tg,Right,1.6557,1.0275,0.1078,0.7305,0.7229,0.092,1.1875,0.1781,0.3121,0.743,0.535,0.5394,0.7619,0.3158
CoN,Right,1.4839,6.399,9.6831,2.4396,0.1805,1.4607,0.7444,0.22033,0.01224,0.00215,0.06582,0.9095,0.22834,0.52686
Pn,Right,0.3322,0.0192,1.81,0.2823,0.5937,0.9872,0.2244,0.0821,0.89,0.1801,0.8381,0.6199,0.3217,0.8794
RTg,Right,0.4766,3.2507,1.1253,1.3637,2.5475,0.0443,1.8953,0.69895,0.07299,0.29015,0.25528,0.05728,0.83361,0.13183
Oliv,Right,0.4081,0.024,17.6859,1.8203,0.8239,0.0192,1.0961,0.7474,0.877,4.03E-05,0.1449,0.4822,0.89,0.3521
PnRt,Right,0.5268,0.0004,8.8769,1.1095,0.7317,0.1774,0.0909,0.664392,0.983298,0.003269,0.346516,0.53428,0.674089,0.964974
Sp5,Right,1.4022,0.4161,1.4994,0.1298,0.807,0.6461,2.2534,0.2436,0.5197,0.2223,0.9423,0.4914,0.4225,0.0836
Ve,Right,1.7556,0.8167,2.7468,0.5121,0.4397,2.9496,1.1938,0.15718,0.36729,0.09912,0.67445,0.72485,0.08755,0.31341
Gi,Right,1.8991,0.0184,17.0264,0.2393,0.5858,0.3859,0.0639,0.1312,0.8923,5.53E-05,0.8688,0.625,0.5352,0.9788
Cu,Right,0.6287,0.4026,0.0788,2.8375,0.4532,0.1984,2.5774,0.59735,0.52653,0.77924,0.03935,0.71532,0.65649,0.05511
ac,Right,0.3953,1.6455,11.1046,4.1149,1.0776,1.2924,0.2934,0.756562,0.201158,0.001037,0.007425,0.359831,0.257046,0.830132
ot,Right,0.0338,0.1801,20.3168,0.788,0.711,1.1452,1.2226,0.9916,0.6718,1.15E-05,0.5071,0.5466,0.2859,0.3028
fi,Right,0.821,0.305,1.2439,5.3275,0.0328,0.0102,0.6395,0.483762,0.581404,0.266144,0.001519,0.992014,0.919842,0.59046
cc,Right,1.4601,0.5769,0.9391,0.8863,1.0135,1.0045,0.7957,0.2269,0.4485,0.3338,0.4493,0.3879,0.3175,0.4977
fx,Right,0.3442,2.2448,1.203,2.1797,0.1173,1.0459,0.165,0.79338,0.13574,0.227413,0.09186,0.94985,0.30777,0.91984
st,Right,1.0925,0.7387,0.3574,0.4525,0.3247,0.5774,0.4634,0.3535,0.3912,0.5507,0.7158,0.8075,0.4483,0.7082
cg,Right,0.0438,3.07944,3.6852,0.6408,0.7553,0.4594,2.9579,0.98589,0.08092,0.05641,0.58965,0.52056,0.49874,0.03366
Io,Right,0.0951,1.7966,0.1569,0.3702,1.3337,0.6395,0.1159,0.9627,0.1817,0.6925,0.7746,0.2648,0.4249,0.9507
vhc,Right,0.3083,3.1887,3.0337,1.033,0.4071,0.492,0.5526,0.81936,0.07576,0.08319,0.37917,0.74804,0.48388,0.64702
ic,Right,0.3406,5.1669,2.9114,0.6552,1.4872,2.7245,2.5453,0.79596,0.02415,0.0896,0.58062,0.21944,0.10049,0.05743
fr,Right,1.4616,0.5422,5.7341,1.4322,0.391,0.2782,0.3216,0.22646,0.46243,0.01762,0.23483,0.75961,0.59854,0.80973
sm,Right,1.3997,1.6868,0.6679,6.2204,0.3,0.0706,0.4237,0.2442932,0.1956194,0.4148331,0.0004748,0.8253941,0.7907959,0.7362407
mt,Right,0.1663,3.0226,0.3254,0.9514,0.9168,1.2394,0.5944,0.91896,0.08375,0.56904,0.41694,0.43388,0.267,0.61939
pc,Right,0.8311,0.0098,0.3918,1.0005,1.4727,3.2207,0.9694,0.47828,0.92142,0.5321,0.39386,0.22338,0.07432,0.40833
bsc,Right,1.9192,1.094,2.7922,0.6798,0.5982,1.125,0.719,0.12791,0.29694,0.09639,0.56544,0.61691,0.29021,0.54177
cp,Right,0.0187,0.2255,63.4989,1.928,0.5284,0.0072,2.1953,0.99651,0.63545,1.50E-13,0.12651,0.66332,0.93224,0.09005
ll,Right,2.542,1.2399,0.9387,0.8329,0.1823,0.0812,2.3001,0.05768,0.26692,0.33386,0.47731,0.9083,0.77596,0.07874
sp5,Right,1.8948,0.0532,6.6467,0.7053,0.6109,0.5995,0.8645,0.1319,0.8179,0.0107,0.5499,0.6087,0.4397,0.4606
py,Right,3.1545,0.872,9.7192,0.6579,0.858,0.6507,0.1355,0.0206,0.35159,0.00211,0.57894,0.46395,0.42089,0.93876
n8,Right,0.7824,0.1046,6.7786,0.1139,0.7741,0.4726,1.7416,0.505107,0.746725,0.009963,0.951894,0.509808,0.492639,0.15996
n7,Right,1.8616,2.6704,4.0848,0.2535,0.2552,2.0916,2.2924,0.13756,0.10391,0.04469,0.85877,0.85759,0.14977,0.07952
Ifp,Right,1.0603,0.0073,0.7236,0.2288,0.2897,1.7402,0.7311,0.3672,0.9318,0.3916,0.8763,0.8328,0.1887,0.5347
mlf_ts,Right,2.1746,0.0271,2.3756,1.2893,0.5462,1.0726,0.0995,0.09246,0.8695,0.12492,0.2794,0.6513,0.3017,0.96019
sc,Right,0.4743,0.7679,15.2057,0.3272,0.5639,0.3093,0.8224,0.7005634,0.3819794,0.0001341,0.8056758,0.6394546,0.5787897,0.4830041
ml,Right,0.6287,1.2965,2.9843,1.667,0.0466,0.0227,1.6517,0.59731,0.2563,0.08572,0.1756,0.98661,0.8803,0.17898
vsc,Right,3.1464,0.4619,0.2865,0.1716,2.3773,0.3842,1.188,0.02633,0.49756,0.59313,0.91546,0.07132,0.5361,0.3156
mcp,Right,1.7505,0.0475,0.7875,0.0375,1.599,0.057,0.2906,0.1582,0.8278,0.376,0.9903,0.1911,0.8116,0.8321
scp,Right,0.3081,0.0882,0.49843,1.6064,0.8279,4.01221,1.1149,0.81949,0.76681,0.02676,0.18934,0.48002,0.04661,0.34431
icp_oc_tz,Right,1.8089,0.5569,1.7581,1.7934,0.5864,0.089,0.2952,0.147,0.4564,0.1865,0.1499,0.6246,0.7658,0.8288
cbw,Right,2.6604,1.0091,4.5376,0.9961,0.1342,0.9653,0.0495,0.3164,0.03446,0.39585,0.39585,0.93957,0.26512,0.41027
LV,Right,0.035,8.7459,6.0673,3.8676,0.1215,0.2265,0.2276,0.9912213,0.003501,0.014671,0.010264,0.947369,0.634714,0.877083
A25,Right,0.1176,3.0884,0.0134,0.9095,2.6814,0.1136,1.0394,0.94972,0.08048,0.90787,0.43752,0.04817,0.73644,0.37632
das,Right,0.315,0.0993,0.0067,1.269,0.0721,4.511,0.2984,0.81454,0.75299,0.935,0.28635,0.97486,0.03499,0.8265
Post,Right,0.9026,0.8037,0.029,0.666,1.0639,0.001,0.1332,0.441,0.3711,0.8649,0.5739,0.3657,0.9747,0.9402
4V,Right,0.3088,0.2452,0.0514,0.33,2.051,0.08,0.8199,0.819,0.6211,0.8208,0.8036,0.1082,0.7776,0.4844
MiTg,Right,1.2607,0.528,1.4732,1.0233,0.5113,0.8825,0.9686,0.2892,0.4684,0.2264,0.3835,0.675,0.3487,0.4087
APT,Right,0.6251,1.0251,0.6918,0.4721,0.3813,0.627,0.6595,0.5996,0.3126,0.4066,0.7021,0.7666,0.4294,0.5779
LDVL,Right,2.8077,1.1979,0.0023,0.5259,0.58,1.6995,1.1255,0.04091,0.27514,0.96203,0.66502,0.62883,1.19395,0.34
LP,Right,3.802,0.2429,3.714,0.7252,0.2893,2.6804,0.2283,0.01118,0.62272,0.05546,0.5381,0.83312,0.10326,0.87658
Athal,Right,0.3753,0.7999,0.1723,1.6953,0.4651,0.0575,0.8625,0.7709,0.3723,0.6785,0.1695,0.707,0.8108,0.4616
RMC,Right,0.7575,4.5932,0.8148,0.6434,0.5187,0.0102,1.4758,0.5193,0.03338,0.36787,0.58802,0.66991,0.91975,0.22252
PaR,Right,1.6767,0.1204,2.2024,0.8871,0.2334,3.4268,0.9872,0.17349,0.72896,0.13947,0.44885,0.872299,0.065722,0.39996
RR,Right,0.3571,0.0549,0.2144,1.6053,1.1205,3.0939,0.5042,0.78404,0.81495,0.64391,0.1896,0.34202,0.08021,0.67982
CSF,Right,1.2183,0.1211,0.1022,0.3657,0.1985,0.0156,0.109,0.3043,0.7282,0.7495,0.7778,0.8973,0.9007,0.9548
IRN,Right,2.0488,12.4049,25.9156,0.5939,0.4991,0.1071,0.3751,0.1085279,0.0005374,8.62E-07,0.6197266,0.6833529,0.7437902,0.7710734
PHD_PaMP_Post_and_LatHy ,Right,0.6831,1.2285,0.4693,2.2328,1.3144,0.307,1.2447,0.56341,0.26911,0.49416,0.08583,0.27104,0.58017,0.29485
PR_p3Tg_L,Right,0.6313,0.8262,3.7181,2.0813,0.2495,0.3881,0.8987,0.59568,0.36453,0.05533,0.10414,0.86165,0.53407,0.44293
