Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
PLCo,Left,1.3758,0.0218,0.1706,0.0222,1.0834,0.2281,0.3808,0.2515,0.8827,0.68,0.99555,0.3574,0.6335,0.767
VCl,Left,2.638,3.2168,0.7665,0.1531,0.4994,3.2486,1.4537,0.05096,0.07449,0.38241,0.92757,0.68318,0.07308,0.22867
Hc,Left,0.2916,0.025,12.1425,1.8948,0.2226,1.4855,0.6603,0.8314715,0.874589,0.0006132,0.1396212,0.8806427,0.2244432,0.577741
DTT,Left,1.6339,0.3915,2.5144,0.648,1.7019,0.0002,2.5316,0.18298,0.53225,0.11449,0.5851,0.16809,0.98934,0.05846
Ect,Left,1.2014,0.99229,51.0367,2.7883,0.605,0.5527,0.6647,0.31058,0.32031,1.94E-11,0.04195,0.61255,0.45815,0.57471
PaS,Left,3.0372,2.2784,2.0074,3.0931,0.2385,1.8928,0.0694,0.03036,0.13286,0.15818,0.02823,0.86942,0.17052,0.9762
PRh,Left,1.5577,0.1905,48.125,0.0374,3.8131,0.105,0.6091,0.20114,0.66302,6.26E-11,0.9903,0.01102,0.74626,0.60987
PrS,Left,0.5821,3.5948,3.1264,0.3124,0.5357,0.6362,0.4803,0.62748,0.0595,0.07865,0.81641,0.65839,0.42609,0.6964
Pir,Left,1.8669,0.9635,4.2333,1.949,0.1665,1.6608,0.6057,0.13664,0.32756,0.04102,0.12318,0.91885,0.19908,0.61205
APir,Left,0.3266,1.0717,8.7987,2.2304,0.5947,0.6992,0.501,0.806111,0.301888,0.003406,0.086095,0.619205,0.404109,0.682063
Hyp,Left,1.6863,3.7175,14.3678,3.2958,1.5399,7.7619,0.8885,0.171413,0.0553501,0.0002024,0.0216724,0.205616,0.0058829,0.448122
